target,id,date,flag,user,text
0,2015554761,Wed Jun 03 04:58:07 PDT 2009,NO_QUERY,PlaneMad,@tarushikha oops  i was just searching for it and realized i threw it away after trying to clean the beach with it :/
0,2061565243,Sat Jun 06 21:08:04 PDT 2009,NO_QUERY,sexieblacc,@jovlind awww that's messed up. how you gonna snail mail my pizza. 
0,1971942204,Sat May 30 08:13:36 PDT 2009,NO_QUERY,14BleedForYou9,Today is not my happy day 
0,2266129628,Sun Jun 21 07:57:38 PDT 2009,NO_QUERY,drpepperaholic,Heading to fall creek parade...Yay 
4,2065314806,Sun Jun 07 08:20:30 PDT 2009,NO_QUERY,anaya,i remember &quot;both guys&quot; 
4,2188704117,Mon Jun 15 22:23:51 PDT 2009,NO_QUERY,kfirpravda,@Gennefer story of my life  i have the story already written so now it is really just finding the time
0,1881833587,Fri May 22 05:39:59 PDT 2009,NO_QUERY,switchico,summer term done. gonna miss the kids. 
0,2208295862,Wed Jun 17 09:01:24 PDT 2009,NO_QUERY,mom2cats,just got finished filling out the unemployment benefit forms and applied for a job at fgcu. tomorrow to beat the pavement. i haz headache 
4,1754159465,Sun May 10 05:13:21 PDT 2009,NO_QUERY,carm,@averagejenn hehe. thank you! just a bunch of left over ingredients thrown in to make the ice cream exciting. yum! 
4,2001627490,Tue Jun 02 01:31:07 PDT 2009,NO_QUERY,ninthspace,@mark_hadfield Woo! Please say another &quot;Happy Birthday&quot; to her from me. 
4,2039765915,Thu Jun 04 22:45:07 PDT 2009,NO_QUERY,natehimself,after lunch my friends cme over here in my pad and we hung out 
0,2267234400,Sun Jun 21 09:50:42 PDT 2009,NO_QUERY,Loraly131,NXNE is almost over!  Staff party tonight should be kick ass!
0,1794771328,Thu May 14 06:31:36 PDT 2009,NO_QUERY,lixximajig,@fanyechka I wish I was financially able to  
4,1961864081,Fri May 29 10:09:34 PDT 2009,NO_QUERY,surferartchick,oh la la new blog post about my closet office.  http://atelierathome.blogspot.com/
0,2057403205,Sat Jun 06 12:56:27 PDT 2009,NO_QUERY,archangel4ever,"@DavidArchie BTW, I wish I was there to hear you sing the NA live   Have fun tonight!"
4,2068255056,Sun Jun 07 13:46:02 PDT 2009,NO_QUERY,MillZz,I am :::slowly::: moving UP in the world...It feels nice 
0,2299533350,Tue Jun 23 13:02:09 PDT 2009,NO_QUERY,dhsmostwanted,"@alexakim LOL... my bad, accidentally deleted it on my work PC, can't get it back til this evening  bad pic anyhow"
4,2051279135,Fri Jun 05 21:28:20 PDT 2009,NO_QUERY,yg94,watching con-air..its a good movie 
4,2175601655,Mon Jun 15 01:27:14 PDT 2009,NO_QUERY,josamuffin,#iremember When I Rolled Out Of The Bed On Holiday And Landed In A Suitcase 
4,1692856263,Sun May 03 20:56:59 PDT 2009,NO_QUERY,Jeremythegeek,Feels good to be at a solid keyboard for once 
4,2070705119,Sun Jun 07 18:09:33 PDT 2009,NO_QUERY,KelleyJayne,@ohjustjake i think Rock of Ages looks like so much fun! I wanna go 
0,1969732645,Sat May 30 01:01:39 PDT 2009,NO_QUERY,mana_manson,Staring at Nothing &amp; procrastinating....Still Sad 
0,2323314212,Thu Jun 25 00:21:58 PDT 2009,NO_QUERY,lisaphan,@Jyatsu School in rside?  I want to go back to school too 
4,1980265575,Sun May 31 06:13:42 PDT 2009,NO_QUERY,ephaw,@AshleyLTMSYF when do you guys arrive in Jakarta? I really can't wait to see the concert on Tuesday 
4,1827729755,Sun May 17 11:19:31 PDT 2009,NO_QUERY,valentineskid,@WeTheTRAVIS i'd pack a waterproof coat. we've been pissed on the last couple of days. can't wait to see you on sat! 
0,2254018422,Sat Jun 20 09:06:05 PDT 2009,NO_QUERY,cloudissocool,I cant even find sites with here lyrics on it  i don't like a lot of j-pop but iv always liked her for some reason
4,1984667798,Sun May 31 15:33:51 PDT 2009,NO_QUERY,ddrdiva,"@daniel_hautjobb yes, I want a sandbag. Right now I make do with bags of mulch. Chores+workout=multitasking "
4,2053200994,Sat Jun 06 03:40:11 PDT 2009,NO_QUERY,MarieMcFlyFan,@katevoegele the video quality wasn't very good... But you're awesome as usual !!! Great song !! 
0,2233046907,Thu Jun 18 20:45:30 PDT 2009,NO_QUERY,missashtonrae,is bored. miss Sean 
0,2052727539,Sat Jun 06 01:47:24 PDT 2009,NO_QUERY,realmccoy2k2,@gulpanag And in both the cases I had been an absolute certified disaster 
0,1679418150,Sat May 02 09:18:25 PDT 2009,NO_QUERY,JLime,ugh...so many good games on today...hope didn't have to go to work 
0,1990917475,Mon Jun 01 06:01:45 PDT 2009,NO_QUERY,no1lefthere,@OK43  ALREADY?? wow.. oh wait I missed the first 30 
4,1994030679,Mon Jun 01 11:18:17 PDT 2009,NO_QUERY,sabrinabrinaxo,"from ashley: helllll yeah, she's following ftsk. WOO! "
4,2182942727,Mon Jun 15 13:50:22 PDT 2009,NO_QUERY,josephranseth,"Dear friend, I have so much gratitude for your contribution. I believe we can change the world together! I love you all. "
0,1967057560,Fri May 29 18:53:48 PDT 2009,NO_QUERY,Arti_Sodmg,@TaLisaDuhhh you say fuck them w. a smiley face ? nooooo  lol
0,2247248645,Fri Jun 19 18:48:49 PDT 2009,NO_QUERY,macyfouse,"OMG I JUST DID MY 1,001 UPDATE! I missed my 1000th?! "
4,2177406322,Mon Jun 15 06:03:02 PDT 2009,NO_QUERY,BIMMERZ,@lilyroseallen have a safe journey 
0,2263986022,Sun Jun 21 02:25:06 PDT 2009,NO_QUERY,Debstarrr85,Why am I working on sunday? I think everybody should be in bed as long as possible! Including meeee!!! 
0,2189130069,Mon Jun 15 23:18:36 PDT 2009,NO_QUERY,JohnLuzietti,@ kristicody I had to update her!!! Haha. She calls us gay!  We're not!
4,2061921152,Sat Jun 06 21:55:06 PDT 2009,NO_QUERY,Sam_10,@DavidArchie was really good! He put on a pretty awesome 4 song set  Tonight was flippin' awesome   Except for my red face. . .
0,2052296256,Sat Jun 06 00:15:34 PDT 2009,NO_QUERY,blowthecandles,left a black pen on the bed and now there's a black splotch on my pink bedsheet 
0,2263512027,Sun Jun 21 01:00:58 PDT 2009,NO_QUERY,tonygunshow19,"sleeping in a real bed. well couch, but its better than a car. except no more rocky mountain view "
0,2056314550,Sat Jun 06 10:55:15 PDT 2009,NO_QUERY,voltaires_vice,@gracedent What?! NOOOO!!!!! I want Beinazir to win! If she gets voted off so soon there's no reason to watch #bb10 anymore. 
4,1565838550,Mon Apr 20 07:39:53 PDT 2009,NO_QUERY,Donniesgirl34,@b_club I'm a blue tshirt kind of girl. Any shade of blue will do. 
4,2070326807,Sun Jun 07 17:29:59 PDT 2009,NO_QUERY,EricainSF,@Nehalia Really happy about your choice of twitter profile pic. Fun times on weds 
0,2234216588,Thu Jun 18 22:38:24 PDT 2009,NO_QUERY,_rhian,@daymarie oh cute. You didn't text me back ninja. 
0,2266058332,Sun Jun 21 07:49:35 PDT 2009,NO_QUERY,jlorren,"I over slept, and I have no gas in my car. I hate missing church. "
0,1980849379,Sun May 31 07:49:48 PDT 2009,NO_QUERY,DEWlicious1,@jordanknight When are we finishing the guess-the-person game from last night? I have to go into the office today 
4,1991833591,Mon Jun 01 07:44:41 PDT 2009,NO_QUERY,LoveGabyy1,The weather's so weird.. I wanna control it. 
